product_id,product_name,category,base_price,cost,true_elasticity,base_daily_demand
1001,Electronics Item 01,Electronics,218.58,162.03,-1.9704622923798616,13
1002,Electronics Item 02,Electronics,137.72,85.37,-1.795394028718395,52
1003,Electronics Item 03,Electronics,302.41,214.2,-2.1938948771869904,15
1004,Electronics Item 04,Electronics,147.86,96.61,-1.9914879912828072,33
1005,Electronics Item 05,Electronics,239.82,156.27,-2.3025662240668847,21
1006,Electronics Item 06,Electronics,215.55,145.29,-2.037150533480945,48
1007,Electronics Item 07,Electronics,153.88,104.94,-2.2088765449050367,38
1008,Electronics Item 08,Electronics,143.09,88.84,-2.077815482058027,57
1009,Electronics Item 09,Electronics,437.28,315.69,-2.220127737983761,42
1010,Electronics Item 10,Electronics,242.86,152.66,-2.1583387499586553,32
1011,Apparel Item 01,Apparel,23.44,11.41,-1.4354910175793623,22
1012,Apparel Item 02,Apparel,72.01,32.71,-1.8441687299942044,15
1013,Apparel Item 03,Apparel,116.96,55.53,-1.452306684000918,9
1014,Apparel Item 04,Apparel,39.6,16.2,-1.565726343762006,22
1015,Apparel Item 05,Apparel,58.87,25.28,-1.6921277541919575,20
1016,Apparel Item 06,Apparel,74.27,31.02,-1.3885755547562169,49
1017,Apparel Item 07,Apparel,27.46,13.56,-1.7353844000611918,5
1018,Apparel Item 08,Apparel,101.55,47.59,-1.4776647422318265,45
1019,Apparel Item 09,Apparel,97.13,39.98,-1.7678435046445278,52
1020,Apparel Item 10,Apparel,82.33,35.8,-1.661842475170243,8
1021,Home & Garden Item 01,Home & Garden,72.53,38.5,-1.0374948355211604,53
1022,Home & Garden Item 02,Home & Garden,102.36,52.01,-0.9287519942858353,44
1023,Home & Garden Item 03,Home & Garden,155.75,86.71,-1.2071652078219903,33
1024,Home & Garden Item 04,Home & Garden,94.1,46.84,-0.8870712688371987,10
1025,Home & Garden Item 05,Home & Garden,20.81,11.76,-1.1816478446928995,54
1026,Home & Garden Item 06,Home & Garden,61.12,33.01,-1.5975137829201786,46
1027,Home & Garden Item 07,Home & Garden,57.33,28.86,-1.3616987205786375,56
1028,Home & Garden Item 08,Home & Garden,164.5,92.89,-1.3003514087169072,52
1029,Home & Garden Item 09,Home & Garden,163.68,84.38,-1.180584490130392,49
1030,Home & Garden Item 10,Home & Garden,180.78,95.81,-1.0062710018934222,11
1031,Sports Item 01,Sports,60.33,35.67,-1.7407759445870847,5
1032,Sports Item 02,Sports,104.17,61.47,-1.747788945564022,17
1033,Sports Item 03,Sports,43.58,25.3,-1.832257142333202,33
1034,Sports Item 04,Sports,133.97,78.19,-1.7191898286370924,58
1035,Sports Item 05,Sports,174.18,99.32,-2.1837542430598083,20
1036,Sports Item 06,Sports,30.72,18.84,-1.8053027750898434,32
1037,Sports Item 07,Sports,32.98,18.91,-1.8384721929562247,12
1038,Sports Item 08,Sports,100.87,66.4,-1.7396905315332776,18
1039,Sports Item 09,Sports,129.18,81.56,-1.6417936105913906,25
1040,Sports Item 10,Sports,123.01,75.78,-1.9818774909589478,34
1041,Beauty Item 01,Beauty,17.22,7.35,-1.5981072650261376,7
1042,Beauty Item 02,Beauty,57.27,23.72,-1.5132595459205542,5
1043,Beauty Item 03,Beauty,50.97,19.27,-1.6124607427452209,43
1044,Beauty Item 04,Beauty,40.94,17.81,-1.3052815138729637,12
1045,Beauty Item 05,Beauty,37.29,13.76,-1.2372965565260658,49
1046,Beauty Item 06,Beauty,54.42,21.9,-1.646172863286791,18
1047,Beauty Item 07,Beauty,17.45,7.53,-1.3480234411503151,23
1048,Beauty Item 08,Beauty,37.94,15.86,-1.2436354256445379,54
1049,Beauty Item 09,Beauty,80.97,34.2,-1.536004944315698,13
1050,Beauty Item 10,Beauty,81.88,33.45,-1.3535492605677992,5
